id,workshopid,userid
744,2602,2176
745,2671,2226
2290,2776,6391
747,2707,1681
748,2670,4152
749,2759,3746
750,2803,2207
751,2656,1480
752,2813,1480
753,2751,4152
754,2813,4152
755,2811,4152
756,2762,4152
757,2760,4152
758,2765,2207
759,2813,2143
760,2581,2160
761,2783,2160
10204,2552,28010
763,2757,4177
764,2742,4152
765,2814,3997
766,2773,2176
767,2635,2176
768,2673,2149
769,2688,3278
770,2765,2143
775,2633,2160
776,2660,2160
777,2559,2160
778,2814,2160
779,2688,2160
780,2682,2160
10207,2821,6474
782,2775,2160
783,2768,2160
784,2756,2160
785,2726,2160
786,2589,2160
787,2629,1259
788,2616,1259
789,2780,1259
10200,3041,27019
791,2679,2160
792,2646,2160
793,2666,2160
794,2724,2160
795,2664,2160
796,2724,2176
797,2633,2176
798,2768,2176
799,2581,2176
800,2814,2176
801,2674,2207
802,2748,2176
803,2731,2176
804,2562,2176
805,2560,2176
806,2555,2176
807,2582,4045
808,2655,4045
809,2564,4045
810,2668,4045
811,2559,4045
812,2731,1781
813,2815,1790
822,2554,1286
824,2815,2143
825,2605,4197
826,2603,4197
827,2727,4197
828,2733,4197
829,2599,4197
830,2685,4152
831,2621,4152
832,2645,2176
833,2815,4188
834,2751,4188
835,2722,4178
836,2721,4178
837,2757,797
838,2703,797
839,2754,797
846,2728,1315
841,2726,4239
847,2536,1315
848,2531,4178
849,2720,4178
850,2757,3444
851,2606,3444
852,2536,3444
853,2528,3444
854,2603,2169
855,2688,4263
856,2817,2169
857,2817,2160
858,2750,2160
859,2574,505
860,2586,505
861,2735,797
862,2817,2238
863,2624,3444
864,2579,4263
865,2810,4152
866,2774,4152
867,2593,1286
882,2555,659
870,2720,4152
871,2669,4152
872,2616,1286
873,2605,1286
874,2670,1286
875,2751,1286
876,2658,4263
877,2776,4377
878,2538,2207
879,2576,2176
883,2707,4152
884,2693,4152
885,2643,4045
886,2563,4045
887,2664,4045
888,2756,4045
889,2586,4045
890,2504,4207
891,2819,4331
892,2779,1315
893,2814,1315
894,2768,1315
895,2688,1315
896,2713,1315
897,2803,1315
898,2754,1315
899,2783,1315
900,2679,1315
901,2720,2228
902,2682,928
903,2817,4329
904,2734,4329
905,2633,4329
906,2816,4329
907,2684,4329
908,2679,4329
909,2559,4329
910,2736,987
911,2516,987
912,2676,4539
913,2750,4539
914,2640,4539
915,2679,4539
916,2814,4363
917,2817,1286
918,2737,1286
919,2582,4258
920,2676,4307
